,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
10,10,2023-10-19,3,41,637.0,639.0,632.0,634.0,417900.0,634.0,0.0,0.0,0.0,0.0,0.0,2000.0,17100.0,6.0,1,0.009375,3.0,5
11,11,2023-10-18,2,41,645.0,647.0,637.0,640.0,417400.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,26900.0,7.0,1,0.010819165378670788,5.0,5
12,12,2023-10-17,1,41,651.0,653.0,643.0,647.0,303000.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,17700.0,-1.0,0,-0.0015479876160990713,4.0,5
13,13,2023-10-16,0,41,659.0,661.0,645.0,646.0,323300.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,9.0,1,0.013740458015267175,13.0,5
14,14,2023-10-13,4,40,663.0,664.0,653.0,655.0,266300.0,655.0,32200.0,1174700.0,36.48,0.0,0.0,0.0,15000.0,10.0,1,0.015037593984962405,8.0,4
15,15,2023-10-12,3,40,673.0,673.0,664.0,665.0,245800.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,13100.0,7.0,1,0.010416666666666666,8.0,4
16,16,2023-10-11,2,40,671.0,675.0,668.0,672.0,190700.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,3.0,1,0.0044444444444444444,-1.0,4
17,17,2023-10-10,1,40,666.0,675.0,666.0,675.0,237300.0,675.0,0.0,0.0,0.0,0.0,0.0,100.0,12100.0,-16.0,0,-0.024279210925644917,-9.0,4
18,18,2023-10-06,4,39,653.0,662.0,652.0,659.0,164900.0,659.0,36100.0,1173700.0,32.51,0.0,0.0,100.0,12100.0,-9.0,0,-0.013846153846153847,-6.0,5
19,19,2023-10-05,3,39,645.0,653.0,644.0,650.0,380100.0,650.0,0.0,0.0,0.0,0.0,0.0,100.0,12700.0,-6.0,0,-0.009316770186335404,-5.0,5
20,20,2023-10-04,2,39,659.0,659.0,641.0,644.0,727800.0,644.0,0.0,0.0,0.0,0.0,0.0,5200.0,11200.0,19.0,1,0.02865761689291101,15.0,5
21,21,2023-10-03,1,39,671.0,671.0,663.0,663.0,492100.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,23000.0,8.0,1,0.011922503725782414,8.0,5
22,22,2023-10-02,0,39,680.0,686.0,671.0,671.0,476800.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,17100.0,1.0,1,0.001488095238095238,9.0,5
23,23,2023-09-29,4,38,684.0,684.0,671.0,672.0,592900.0,672.0,85300.0,1025800.0,12.03,0.0,0.0,1000.0,15400.0,11.0,1,0.016105417276720352,12.0,5
24,24,2023-09-28,3,38,686.0,689.0,678.0,683.0,927700.0,683.0,0.0,0.0,0.0,0.0,0.0,1800.0,80300.0,23.0,1,0.032577903682719546,3.0,5
25,25,2023-09-27,2,38,704.0,708.0,695.0,706.0,1209000.0,706.0,0.0,0.0,0.0,0.75,3.0,192100.0,3500.0,6.0,1,0.008426966292134831,-2.0,5
26,26,2023-09-26,1,38,723.0,723.0,712.0,712.0,600100.0,712.0,0.0,0.0,0.0,0.0,0.0,2200.0,4800.0,14.0,1,0.01928374655647383,11.0,5
27,27,2023-09-25,0,38,719.0,727.0,719.0,726.0,590100.0,726.0,0.0,0.0,0.0,0.0,0.0,400.0,10500.0,-9.0,0,-0.012552301255230125,-7.0,5
28,28,2023-09-22,4,37,711.0,721.0,710.0,717.0,459000.0,717.0,1334800.0,971400.0,0.73,0.0,0.0,0.0,3500.0,1.0,1,0.001392757660167131,-6.0,4
29,29,2023-09-21,3,37,729.0,730.0,717.0,718.0,381900.0,718.0,0.0,0.0,0.0,0.0,0.0,300.0,4100.0,12.0,1,0.01643835616438356,11.0,4
30,30,2023-09-20,2,37,749.0,750.0,730.0,730.0,409100.0,730.0,0.0,0.0,0.0,0.0,0.0,2200.0,4600.0,20.0,1,0.02666666666666667,19.0,4
31,31,2023-09-19,1,37,757.0,757.0,743.0,750.0,379300.0,750.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,3.0,1,0.00398406374501992,7.0,4
32,32,2023-09-15,4,36,759.0,759.0,753.0,753.0,214800.0,753.0,788500.0,961500.0,1.22,0.0,0.0,4800.0,11900.0,0.0,0,0.0,6.0,5
33,33,2023-09-14,3,36,755.0,757.0,753.0,753.0,273500.0,753.0,0.0,0.0,0.0,0.0,0.0,3000.0,11800.0,2.0,1,0.0026490066225165563,2.0,5
34,34,2023-09-13,2,36,756.0,756.0,751.0,755.0,201300.0,755.0,0.0,0.0,0.0,0.0,0.0,1900.0,11900.0,0.0,0,0.0,1.0,5
35,35,2023-09-12,1,36,750.0,756.0,750.0,755.0,258400.0,755.0,0.0,0.0,0.0,0.0,0.0,1900.0,11600.0,0.0,0,0.0,-5.0,5
36,36,2023-09-11,0,36,755.0,764.0,751.0,755.0,295400.0,755.0,0.0,0.0,0.0,0.0,0.0,1000.0,11400.0,-9.0,0,-0.012064343163538873,0.0,5
37,37,2023-09-08,4,35,754.0,759.0,744.0,746.0,343100.0,746.0,427100.0,961800.0,2.25,0.0,0.0,1000.0,11400.0,8.0,1,0.010610079575596816,8.0,5
38,38,2023-09-07,3,35,743.0,757.0,742.0,754.0,331000.0,754.0,0.0,0.0,0.0,0.0,0.0,700.0,11300.0,-10.0,0,-0.013440860215053764,-11.0,5
39,39,2023-09-06,2,35,746.0,747.0,741.0,744.0,175500.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,12400.0,2.0,1,0.002680965147453083,2.0,5
40,40,2023-09-05,1,35,747.0,747.0,741.0,746.0,259000.0,746.0,0.0,0.0,0.0,0.0,0.0,500.0,12700.0,0.0,0,0.0,1.0,5
41,41,2023-09-04,0,35,734.0,746.0,733.0,746.0,280100.0,746.0,0.0,0.0,0.0,0.0,0.0,500.0,7600.0,-16.0,0,-0.021917808219178082,-12.0,5
42,42,2023-09-01,4,34,727.0,730.0,725.0,730.0,214600.0,730.0,199800.0,982600.0,4.92,0.0,0.0,400.0,7800.0,-3.0,0,-0.0041265474552957355,-3.0,5
43,43,2023-08-31,3,34,724.0,730.0,722.0,727.0,171500.0,727.0,0.0,0.0,0.0,0.0,0.0,400.0,7700.0,-6.0,0,-0.008321775312066574,-3.0,5
44,44,2023-08-30,2,34,720.0,724.0,719.0,721.0,200100.0,721.0,0.0,0.0,0.0,0.0,0.0,400.0,7700.0,1.0,1,0.0013850415512465374,-1.0,5
45,45,2023-08-29,1,34,720.0,722.0,718.0,722.0,200500.0,722.0,0.0,0.0,0.0,0.0,0.0,400.0,8500.0,-2.0,0,-0.002777777777777778,-2.0,5
46,46,2023-08-28,0,34,725.0,728.0,717.0,720.0,260200.0,720.0,0.0,0.0,0.0,0.0,0.0,400.0,8400.0,0.0,0,0.0,5.0,5
47,47,2023-08-25,4,33,715.0,723.0,713.0,720.0,262700.0,720.0,109200.0,978000.0,8.96,0.0,0.0,100.0,9600.0,-2.0,0,-0.002785515320334262,-5.0,5
48,48,2023-08-24,3,33,703.0,719.0,700.0,718.0,300100.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,-16.0,0,-0.022792022792022793,-15.0,5
49,49,2023-08-23,2,33,692.0,703.0,691.0,702.0,296400.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,-13.0,0,-0.018867924528301886,-10.0,5
50,50,2023-08-22,1,33,682.0,689.0,682.0,689.0,167500.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,-8.0,0,-0.011747430249632892,-7.0,5
51,51,2023-08-21,0,33,675.0,684.0,674.0,681.0,171900.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,-10.0,0,-0.014903129657228018,-6.0,5
52,52,2023-08-18,4,32,673.0,674.0,668.0,671.0,265900.0,671.0,83500.0,1003100.0,12.01,0.0,0.0,0.0,10100.0,5.0,1,0.0073964497041420114,2.0,5
53,53,2023-08-17,3,32,679.0,681.0,672.0,676.0,224800.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,-2.0,0,-0.002967359050445104,3.0,5
54,54,2023-08-16,2,32,673.0,675.0,670.0,674.0,157400.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,1.0,1,0.0014814814814814814,-1.0,5
55,55,2023-08-15,1,32,676.0,678.0,672.0,675.0,196400.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,0.0,0,0.0,1.0,5
56,56,2023-08-14,0,32,682.0,683.0,673.0,675.0,351300.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,22600.0,7.0,1,0.010263929618768328,7.0,5
57,57,2023-08-10,3,31,680.0,682.0,677.0,682.0,132900.0,682.0,80300.0,1052500.0,13.11,0.0,0.0,0.0,15300.0,-3.0,0,-0.004418262150220913,-2.0,4
58,58,2023-08-09,2,31,682.0,682.0,677.0,679.0,108500.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,1.0,1,0.0014705882352941176,3.0,4
59,59,2023-08-08,1,31,679.0,682.0,677.0,680.0,149700.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,-2.0,0,-0.0029498525073746312,-1.0,4
60,60,2023-08-07,0,31,669.0,678.0,668.0,678.0,271400.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,-9.0,0,-0.013452914798206279,-9.0,4
61,61,2023-08-04,4,30,666.0,669.0,663.0,669.0,185700.0,669.0,73300.0,1155100.0,15.76,0.0,0.0,0.0,14100.0,-4.0,0,-0.006015037593984963,-3.0,5
62,62,2023-08-03,3,30,674.0,674.0,665.0,665.0,456500.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,18100.0,11.0,1,0.016272189349112426,9.0,5
63,63,2023-08-02,2,30,682.0,683.0,673.0,676.0,422800.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,1.0,1,0.0014771048744460858,6.0,5
64,64,2023-08-01,1,30,691.0,691.0,677.0,677.0,977500.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,37.0,1,0.05182072829131653,14.0,5
65,65,2023-07-31,0,30,710.0,715.0,706.0,714.0,336200.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,-9.0,0,-0.01276595744680851,-4.0,5
66,66,2023-07-28,4,29,698.0,705.0,697.0,705.0,217900.0,705.0,58600.0,949600.0,16.2,0.0,0.0,0.0,15800.0,-3.0,0,-0.004273504273504274,-7.0,5
67,67,2023-07-27,3,29,700.0,703.0,698.0,702.0,116900.0,702.0,0.0,0.0,0.0,0.0,0.0,6800.0,15000.0,-1.0,0,-0.0014265335235378032,-2.0,5
68,68,2023-07-26,2,29,703.0,703.0,699.0,701.0,186400.0,701.0,0.0,0.0,0.0,0.0,0.0,7000.0,14800.0,4.0,1,0.005673758865248227,2.0,5
69,69,2023-07-25,1,29,704.0,706.0,702.0,705.0,94200.0,705.0,0.0,0.0,0.0,0.0,0.0,7000.0,14200.0,-2.0,0,-0.002844950213371266,-1.0,5
70,70,2023-07-24,0,29,705.0,706.0,702.0,703.0,55000.0,703.0,0.0,0.0,0.0,0.0,0.0,7000.0,30100.0,-3.0,0,-0.004285714285714286,2.0,5
71,71,2023-07-21,4,28,703.0,703.0,697.0,700.0,146500.0,700.0,72200.0,1000600.0,13.86,0.0,0.0,7000.0,30200.0,0.0,0,0.0,3.0,4
72,72,2023-07-20,3,28,700.0,704.0,699.0,700.0,139200.0,700.0,0.0,0.0,0.0,0.0,0.0,7000.0,30200.0,-2.0,0,-0.0028653295128939827,0.0,4
73,73,2023-07-19,2,28,694.0,698.0,693.0,698.0,175900.0,698.0,0.0,0.0,0.0,0.0,0.0,7000.0,15900.0,-6.0,0,-0.008670520231213872,-4.0,4
74,74,2023-07-18,1,28,695.0,696.0,690.0,692.0,167400.0,692.0,0.0,0.0,0.0,0.0,0.0,7000.0,16300.0,2.0,1,0.002881844380403458,3.0,4
75,75,2023-07-14,4,27,699.0,701.0,691.0,694.0,124900.0,694.0,66700.0,923500.0,13.85,0.0,0.0,7000.0,14400.0,4.0,1,0.0057306590257879654,5.0,5
76,76,2023-07-13,3,27,700.0,701.0,694.0,698.0,86500.0,698.0,0.0,0.0,0.0,0.0,0.0,8500.0,13900.0,1.0,1,0.001430615164520744,2.0,5
77,77,2023-07-12,2,27,702.0,702.0,697.0,699.0,122000.0,699.0,0.0,0.0,0.0,0.0,0.0,8500.0,13500.0,0.0,0,0.0,3.0,5
78,78,2023-07-11,1,27,700.0,704.0,698.0,699.0,131200.0,699.0,0.0,0.0,0.0,0.0,0.0,8400.0,13200.0,-2.0,0,-0.0028694404591104736,1.0,5
79,79,2023-07-10,0,27,698.0,701.0,695.0,697.0,192900.0,697.0,0.0,0.0,0.0,0.0,0.0,8000.0,14000.0,-1.0,0,-0.0014367816091954023,1.0,5
80,80,2023-07-07,4,26,698.0,698.0,691.0,696.0,174100.0,696.0,66300.0,901600.0,13.6,0.0,0.0,8000.0,13400.0,4.0,1,0.005714285714285714,2.0,5
81,81,2023-07-06,3,26,705.0,705.0,700.0,700.0,98300.0,700.0,0.0,0.0,0.0,0.0,0.0,7200.0,12100.0,7.0,1,0.009900990099009901,5.0,5
82,82,2023-07-05,2,26,707.0,710.0,702.0,707.0,127200.0,707.0,0.0,0.0,0.0,0.0,0.0,7200.0,10600.0,2.0,1,0.0028208744710860366,0.0,5
83,83,2023-07-04,1,26,706.0,713.0,705.0,709.0,137900.0,709.0,0.0,0.0,0.0,0.0,0.0,7000.0,8600.0,3.0,1,0.004213483146067416,-3.0,5
84,84,2023-07-03,0,26,711.0,715.0,710.0,712.0,93100.0,712.0,0.0,0.0,0.0,0.0,0.0,7000.0,7300.0,-1.0,0,-0.0014064697609001407,-1.0,5
85,85,2023-06-30,4,25,712.0,715.0,705.0,711.0,143500.0,711.0,54500.0,889000.0,16.31,0.0,0.0,7000.0,7300.0,1.0,1,0.0014044943820224719,1.0,5
86,86,2023-06-29,3,25,720.0,723.0,711.0,712.0,70200.0,712.0,0.0,0.0,0.0,0.0,0.0,7000.0,7400.0,8.0,1,0.011111111111111112,8.0,5
87,87,2023-06-28,2,25,713.0,720.0,713.0,720.0,98100.0,720.0,0.0,0.0,0.0,0.0,0.0,7000.0,9900.0,-9.0,0,-0.012658227848101266,-7.0,5
88,88,2023-06-27,1,25,716.0,716.0,708.0,711.0,94700.0,711.0,0.0,0.0,0.0,0.0,0.0,7000.0,7400.0,5.0,1,0.006983240223463687,5.0,5
89,89,2023-06-26,0,25,713.0,716.0,707.0,716.0,87300.0,716.0,0.0,0.0,0.0,0.0,0.0,7000.0,5600.0,-5.0,0,-0.007032348804500703,-3.0,5
90,90,2023-06-23,4,24,720.0,724.0,710.0,711.0,150100.0,711.0,50000.0,882800.0,17.66,0.0,0.0,7000.0,5700.0,8.0,1,0.011126564673157162,9.0,5
91,91,2023-06-22,3,24,709.0,719.0,709.0,719.0,189800.0,719.0,0.0,0.0,0.0,0.0,0.0,7000.0,9300.0,-13.0,0,-0.018413597733711047,-10.0,5
92,92,2023-06-21,2,24,703.0,713.0,703.0,706.0,102300.0,706.0,0.0,0.0,0.0,0.0,0.0,7000.0,8300.0,-2.0,0,-0.002840909090909091,-3.0,5
93,93,2023-06-20,1,24,702.0,704.0,698.0,704.0,108100.0,704.0,0.0,0.0,0.0,0.0,0.0,7100.0,7600.0,1.0,1,0.0014184397163120568,-2.0,5
94,94,2023-06-19,0,24,706.0,707.0,701.0,705.0,78300.0,705.0,0.0,0.0,0.0,0.0,0.0,7000.0,7000.0,-5.0,0,-0.007142857142857143,1.0,5
95,95,2023-06-16,4,23,706.0,707.0,699.0,700.0,389200.0,700.0,56800.0,879400.0,15.48,0.0,0.0,7000.0,8700.0,8.0,1,0.011299435028248588,6.0,5
96,96,2023-06-15,3,23,706.0,715.0,704.0,708.0,198200.0,708.0,0.0,0.0,0.0,0.0,0.0,7000.0,7600.0,-5.0,0,-0.007112375533428165,-2.0,5
97,97,2023-06-14,2,23,705.0,708.0,700.0,703.0,139000.0,703.0,0.0,0.0,0.0,0.0,0.0,7000.0,6800.0,-3.0,0,-0.004285714285714286,2.0,5
98,98,2023-06-13,1,23,696.0,704.0,696.0,700.0,104800.0,700.0,0.0,0.0,0.0,0.0,0.0,7000.0,6800.0,-4.0,0,-0.005747126436781609,-4.0,5
99,99,2023-06-12,0,23,699.0,703.0,695.0,696.0,87200.0,696.0,0.0,0.0,0.0,0.0,0.0,7000.0,6100.0,0.0,0,0.0,3.0,5
100,100,2023-06-09,4,22,687.0,698.0,687.0,696.0,162300.0,696.0,57100.0,872800.0,15.29,0.0,0.0,7000.0,6500.0,-6.0,0,-0.008695652173913044,-9.0,5
101,101,2023-06-08,3,22,693.0,695.0,685.0,690.0,127000.0,690.0,0.0,0.0,0.0,0.0,0.0,7000.0,7600.0,0.0,0,0.0,3.0,5
102,102,2023-06-07,2,22,697.0,700.0,689.0,690.0,168500.0,690.0,0.0,0.0,0.0,0.0,0.0,7200.0,7000.0,4.0,1,0.005763688760806916,7.0,5
103,103,2023-06-06,1,22,689.0,697.0,687.0,694.0,143500.0,694.0,0.0,0.0,0.0,0.0,0.0,7000.0,6400.0,-5.0,0,-0.00725689404934688,-5.0,5
104,104,2023-06-05,0,22,697.0,697.0,686.0,689.0,149800.0,689.0,0.0,0.0,0.0,0.0,0.0,7000.0,6900.0,-2.0,0,-0.002911208151382824,8.0,5
105,105,2023-06-02,4,21,677.0,689.0,675.0,687.0,130000.0,687.0,38700.0,866000.0,22.38,0.0,0.0,7000.0,6500.0,-10.0,0,-0.014771048744460856,-10.0,5
106,106,2023-06-01,3,21,682.0,684.0,677.0,677.0,180300.0,677.0,0.0,0.0,0.0,0.0,0.0,7000.0,6700.0,6.0,1,0.008784773060029283,5.0,5
107,107,2023-05-31,2,21,692.0,694.0,683.0,683.0,293900.0,683.0,0.0,0.0,0.0,0.0,0.0,7000.0,14400.0,16.0,1,0.022889842632331903,9.0,5
108,108,2023-05-30,1,21,699.0,701.0,695.0,699.0,101900.0,699.0,0.0,0.0,0.0,0.0,0.0,7000.0,10600.0,2.0,1,0.0028530670470756064,0.0,5
109,109,2023-05-29,0,21,704.0,704.0,700.0,701.0,79000.0,701.0,0.0,0.0,0.0,0.0,0.0,7000.0,6300.0,-5.0,0,-0.007183908045977011,3.0,5
110,110,2023-05-26,4,20,703.0,706.0,696.0,696.0,151500.0,696.0,40600.0,835600.0,20.58,0.0,0.0,7000.0,6100.0,10.0,1,0.014164305949008499,7.0,5
111,111,2023-05-25,3,20,705.0,707.0,702.0,706.0,91900.0,706.0,0.0,0.0,0.0,0.0,0.0,7000.0,10400.0,2.0,1,0.002824858757062147,-1.0,5
112,112,2023-05-24,2,20,714.0,718.0,708.0,708.0,125400.0,708.0,0.0,0.0,0.0,0.0,0.0,7000.0,12400.0,9.0,1,0.012552301255230125,6.0,5
113,113,2023-05-23,1,20,732.0,732.0,717.0,717.0,167600.0,717.0,0.0,0.0,0.0,0.0,0.0,7000.0,16300.0,15.0,1,0.020491803278688523,15.0,5
114,114,2023-05-22,0,20,727.0,732.0,721.0,732.0,80100.0,732.0,0.0,0.0,0.0,0.0,0.0,7000.0,5800.0,-5.0,0,-0.0068775790921595595,-5.0,5
115,115,2023-05-19,4,19,737.0,737.0,724.0,727.0,166700.0,727.0,43600.0,808000.0,18.53,0.0,0.0,7000.0,5900.0,6.0,1,0.008185538881309686,10.0,5
116,116,2023-05-18,3,19,735.0,736.0,725.0,733.0,145100.0,733.0,0.0,0.0,0.0,0.0,0.0,7000.0,6100.0,4.0,1,0.005427408412483039,2.0,5
117,117,2023-05-17,2,19,737.0,738.0,725.0,737.0,151900.0,737.0,0.0,0.0,0.0,0.0,0.0,7000.0,7000.0,3.0,1,0.004054054054054054,0.0,5
118,118,2023-05-16,1,19,763.0,764.0,738.0,740.0,263100.0,740.0,0.0,0.0,0.0,0.0,0.0,7000.0,6700.0,26.0,1,0.033942558746736295,23.0,5
119,119,2023-05-15,0,19,766.0,769.0,761.0,766.0,205500.0,766.0,0.0,0.0,0.0,0.0,0.0,7000.0,5800.0,-10.0,0,-0.013227513227513227,0.0,5
120,120,2023-05-12,4,18,754.0,757.0,750.0,756.0,110000.0,756.0,31600.0,880000.0,27.85,0.0,0.0,8000.0,6900.0,-1.0,0,-0.0013245033112582781,-2.0,5
121,121,2023-05-11,3,18,748.0,755.0,746.0,755.0,59300.0,755.0,0.0,0.0,0.0,0.0,0.0,8800.0,7500.0,-4.0,0,-0.005326231691078562,-7.0,5
122,122,2023-05-10,2,18,761.0,761.0,748.0,751.0,146300.0,751.0,0.0,0.0,0.0,0.0,0.0,8600.0,8200.0,10.0,1,0.013140604467805518,10.0,5
123,123,2023-05-09,1,18,759.0,762.0,755.0,761.0,126100.0,761.0,0.0,0.0,0.0,0.0,0.0,8800.0,6900.0,-6.0,0,-0.007947019867549669,-2.0,5
124,124,2023-05-08,0,18,745.0,756.0,744.0,755.0,134800.0,755.0,0.0,0.0,0.0,0.0,0.0,8600.0,5400.0,-12.0,0,-0.016150740242261104,-10.0,5
125,125,2023-05-02,1,17,749.0,749.0,738.0,743.0,70800.0,743.0,0.0,0.0,0.0,0.0,0.0,8600.0,5300.0,3.0,1,0.004021447721179625,6.0,2
126,126,2023-05-01,0,17,749.0,753.0,741.0,746.0,131200.0,746.0,0.0,0.0,0.0,0.0,0.0,8600.0,4900.0,-1.0,0,-0.0013422818791946308,3.0,2
127,127,2023-04-28,4,16,738.0,745.0,738.0,745.0,127000.0,745.0,46400.0,874600.0,18.85,0.0,0.0,9000.0,4300.0,-13.0,0,-0.017759562841530054,-7.0,5
128,128,2023-04-27,3,16,733.0,733.0,727.0,732.0,73800.0,732.0,0.0,0.0,0.0,0.0,0.0,9000.0,6400.0,2.0,1,0.0027247956403269754,1.0,5
129,129,2023-04-26,2,16,728.0,738.0,726.0,734.0,150100.0,734.0,0.0,0.0,0.0,0.0,0.0,9100.0,5800.0,-7.0,0,-0.009628610729023384,-6.0,5
130,130,2023-04-25,1,16,727.0,734.0,724.0,727.0,125600.0,727.0,0.0,0.0,0.0,0.0,0.0,9100.0,5700.0,-3.0,0,-0.004143646408839779,0.0,5
131,131,2023-04-24,0,16,722.0,728.0,721.0,724.0,73800.0,724.0,0.0,0.0,0.0,0.0,0.0,9100.0,5500.0,-3.0,0,-0.004160887656033287,-2.0,5
132,132,2023-04-21,4,15,710.0,724.0,710.0,721.0,163500.0,721.0,41900.0,899400.0,21.47,0.0,0.0,9000.0,4800.0,-9.0,0,-0.012640449438202247,-11.0,5
133,133,2023-04-20,3,15,706.0,712.0,705.0,712.0,70400.0,712.0,0.0,0.0,0.0,0.0,0.0,8500.0,5200.0,-3.0,0,-0.004231311706629055,-6.0,5
134,134,2023-04-19,2,15,710.0,710.0,704.0,709.0,94200.0,709.0,0.0,0.0,0.0,0.0,0.0,8500.0,5400.0,4.0,1,0.005610098176718092,1.0,5
135,135,2023-04-18,1,15,712.0,713.0,706.0,713.0,101900.0,713.0,0.0,0.0,0.0,0.0,0.0,8500.0,5900.0,-5.0,0,-0.007062146892655367,-1.0,5
136,136,2023-04-17,0,15,712.0,712.0,706.0,708.0,44400.0,708.0,0.0,0.0,0.0,0.0,0.0,8500.0,6300.0,-1.0,0,-0.0014144271570014145,4.0,5
137,137,2023-04-14,4,14,710.0,711.0,705.0,707.0,102400.0,707.0,40700.0,902400.0,22.17,0.0,0.0,8500.0,6300.0,-3.0,0,-0.004261363636363636,3.0,5
138,138,2023-04-13,3,14,709.0,710.0,703.0,704.0,101000.0,704.0,0.0,0.0,0.0,0.0,0.0,8500.0,7100.0,9.0,1,0.012622720897615708,5.0,5
139,139,2023-04-12,2,14,709.0,716.0,708.0,713.0,116200.0,713.0,0.0,0.0,0.0,0.0,0.0,8500.0,6400.0,-5.0,0,-0.007062146892655367,-4.0,5
140,140,2023-04-11,1,14,711.0,715.0,705.0,708.0,179400.0,708.0,0.0,0.0,0.0,0.0,0.0,8500.0,7100.0,-5.0,0,-0.007112375533428165,3.0,5
141,141,2023-04-10,0,14,710.0,711.0,700.0,703.0,136900.0,703.0,0.0,0.0,0.0,0.0,0.0,8500.0,7500.0,4.0,1,0.005657708628005658,7.0,5
142,142,2023-04-07,4,13,705.0,710.0,700.0,707.0,119500.0,707.0,31000.0,916600.0,29.57,0.0,0.0,8800.0,8600.0,-5.0,0,-0.007122507122507123,-2.0,5
143,143,2023-04-06,3,13,704.0,709.0,700.0,702.0,135500.0,702.0,0.0,0.0,0.0,0.0,0.0,8500.0,7200.0,4.0,1,0.0056657223796034,2.0,5
144,144,2023-04-05,2,13,713.0,715.0,699.0,706.0,177800.0,706.0,0.0,0.0,0.0,0.0,0.0,8500.0,7200.0,13.0,1,0.01808066759388039,7.0,5
145,145,2023-04-04,1,13,713.0,723.0,713.0,719.0,250100.0,719.0,0.0,0.0,0.0,0.0,0.0,8600.0,7400.0,-8.0,0,-0.011251758087201125,-6.0,5
146,146,2023-04-03,0,13,702.0,711.0,699.0,711.0,184400.0,711.0,0.0,0.0,0.0,0.0,0.0,8500.0,8600.0,-9.0,0,-0.01282051282051282,-9.0,5
147,147,2023-03-31,4,12,685.0,704.0,685.0,702.0,285600.0,702.0,37400.0,897900.0,24.01,0.0,0.0,8500.0,9900.0,-22.0,0,-0.03235294117647059,-17.0,5
148,148,2023-03-30,3,12,684.0,685.0,678.0,680.0,212300.0,680.0,0.0,0.0,0.0,0.0,0.0,8900.0,40800.0,15.0,1,0.02158273381294964,4.0,5
